SN,Source,WHO_REGION,Region,Country,ISO3,ISO2,ADMIN1,ADMIN1ID,ADMIN2,ADMIN2ID,IU_NAME,IU_ID,Location,SiteID,Longitude,Latitude,Georeliability,Location_type,Survey_type,Year,Age_start,Age_end,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence
24493,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Zota,39181,Bong,26819,Sianneh Ta Public School,,-9.4866505,7.28369,3,,Mapping,2012,10,14,30,12,0.4,30,8,0.266666667,30,9,0.3
24494,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,Sis Ruth Memorial Elem. Sch.,,-9.45972,6.9982,3,,Mapping,2012,10,15,30,9,0.3,30,6,0.2,30,2,0.066666667
24495,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,St. Mark Lutheran High,,-9.46997,7.00115,3,,Mapping,2012,10,14,28,4,0.142857143,27,2,0.074074074,27,0,0
24496,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,St. Matthew Academy,,-9.46733,6.98493,3,,Mapping,2012,10,14,26,7,0.269230769,26,1,0.038461538,26,1,0.038461538
24497,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Fuamah,39174,Bong,26819,St. Paul Catholic School,,-10.36330555,6.81747222,3,,Mapping,2012,11,14,30,1,0.033333333,30,3,0.1,30,1,0.033333333
24498,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Suakoko,39180,Bong,26819,Suakoko Rehab Elementary,,-9.5814039,6.989988,1,,Mapping,2012,10,14,30,9,0.3,30,16,0.533333333,30,7,0.233333333
24500,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Suakoko,39180,Bong,26819,Tailor Ums,,-9.64891,6.82916,3,,Mapping,2012,10,14,30,13,0.433333333,30,8,0.266666667,30,4,0.133333333
24501,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Tassah Public School,,-9.29365,6.9248,3,,Mapping,2012,10,14,30,13,0.433333333,30,8,0.266666667,30,6,0.2
24503,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Tomato Camp Public School,,-9.255827,7.043417,3,,Mapping,2012,10,14,30,14,0.466666667,30,6,0.2,30,3,0.1
24504,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Kokoyah,39176,Bong,26819,Tukpatiblee Pub. School,,-9.43034,6.59018,3,,Mapping,2012,11,14,30,13,0.433333333,30,7,0.233333333,30,9,0.3
24505,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Upper Room Christian Academy,,-9.943667,6.808555,3,,Mapping,2012,10,14,30,2,0.066666667,30,2,0.066666667,30,0,0
24506,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Vision Community School,,-10.03731,6.764444,3,,Mapping,2012,10,14,30,1,0.033333333,30,1,0.033333333,30,1,0.033333333
24507,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Bopolu,39184,Bong,26819,Volomeni Public School,,-10.48675,7.02151,4,,Mapping,2012,10,13,30,17,0.566666667,30,13,0.433333333,29,12,0.413793103
24508,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Zota,39181,Bong,26819,W. R. Tolbert Elm /Jr High School,,-9.5117397,7.31216,3,,Mapping,2012,10,14,30,12,0.4,30,10,0.333333333,30,6,0.2
24509,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Wacap Public School,,-9.9208333,6.7578333,3,,Mapping,2012,10,14,30,0,0,30,3,0.1,30,1,0.033333333
24510,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Sanayea,39179,Bong,26819,Waingue Public School,,-10.00698,7.00473,3,,Mapping,2012,10,14,30,13,0.433333333,30,9,0.3,30,6,0.2
24512,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Sanayea,39179,Bong,26819,Waymue Public School,,-9.74149,7.08689,3,,Mapping,2012,10,13,30,19,0.633333333,30,14,0.466666667,30,9,0.3
24513,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Sanayea,39179,Bong,26819,Wenkai Elem. Public,,-9.78536,7.11512,3,,Mapping,2012,10,13,29,18,0.620689655,29,13,0.448275862,29,7,0.24137931
24514,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Sanayea,39179,Bong,26819,Wenniata Public School,,-10.0234,6.89497,3,,Mapping,2012,10,14,30,17,0.566666667,30,11,0.366666667,30,11,0.366666667
24515,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Kokoyah,39176,Bong,26819,Wesseh Gardea Public School,,-9.3761997,6.65486,3,,Mapping,2012,10,14,30,10,0.333333333,30,6,0.2,30,6,0.2
24516,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Kokoyah,39176,Bong,26819,Wetea Public School,,-9.4235,6.65285,3,,Mapping,2012,10,14,29,6,0.206896552,29,2,0.068965517,29,6,0.206896552
24517,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Fuamah,39174,Bong,26819,Willayta Public School,,-10.3246944,6.8556388,3,,Mapping,2012,11,14,29,5,0.172413793,29,4,0.137931034,29,0,0
24518,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,William V.s. Tubman Elem. & Jr. High School,,-9.84356,6.83998,3,,Mapping,2012,10,14,30,14,0.466666667,30,9,0.3,30,11,0.366666667
